"filename", "language", "SQL", "JavaScript", "JSON", "HTTP", "Handlebars", "CSS", "comment", "blank", "total"
"c:\Users\phill\Documents\York\Year 3\Project\project-website\views\events\tour.hbs", "Handlebars", 0, 0, 0, 0, 93, 0, 15, 24, 132
"c:\Users\phill\Documents\York\Year 3\Project\project-website\views\events\waiting-list-signup.hbs", "Handlebars", 0, 0, 0, 0, 70, 0, 9, 14, 93
"c:\Users\phill\Documents\York\Year 3\Project\project-website\views\index.hbs", "Handlebars", 0, 0, 0, 0, 24, 0, 17, 3, 44
"c:\Users\phill\Documents\York\Year 3\Project\project-website\views\layouts\main-logged-in.hbs", "Handlebars", 0, 0, 0, 0, 25, 0, 8, 8, 41
"c:\Users\phill\Documents\York\Year 3\Project\project-website\views\layouts\main.hbs", "Handlebars", 0, 0, 0, 0, 25, 0, 8, 8, 41
"c:\Users\phill\Documents\York\Year 3\Project\project-website\views\partials\city-cards.hbs", "Handlebars", 0, 0, 0, 0, 24, 0, 1, 1, 26
"c:\Users\phill\Documents\York\Year 3\Project\project-website\views\partials\nav-logged-in.hbs", "Handlebars", 0, 0, 0, 0, 58, 0, 1, 8, 67
"c:\Users\phill\Documents\York\Year 3\Project\project-website\views\partials\nav.hbs", "Handlebars", 0, 0, 0, 0, 63, 0, 1, 9, 73
"c:\Users\phill\Documents\York\Year 3\Project\project-website\views\partials\ticket-qty.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 15, 0, 15
"c:\Users\phill\Documents\York\Year 3\Project\project-website\views\queue.hbs", "Handlebars", 0, 0, 0, 0, 100, 0, 0, 28, 128
"c:\Users\phill\Documents\York\Year 3\Project\project-website\views\search.hbs", "Handlebars", 0, 0, 0, 0, 30, 0, 8, 5, 43
"c:\Users\phill\Documents\York\Year 3\Project\project-website\views\waiting-list-email.hbs", "Handlebars", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\phill\Documents\York\Year 3\Project\project-website\waiting-list.js", "JavaScript", 0, 83, 0, 0, 0, 0, 15, 20, 118
"Total", "-", 791, 1780, 2830, 5, 848, 83, 585, 1024, 7946
